region,site_nom,question,reponse_attendue
Martinique,Eglise Saint-Antoine-de-Padoue,Donnez le numéro de département correspondant à : Eglise Saint-Antoine-de-Padoue (Martinique).,972
Bretagne,Château de Crévy,Quel est le numéro de département pour le site 'Château de Crévy' en Bretagne ?,56
Bretagne,Château de Crévy,A quel code départemental est rattaché le lieu 'Château de Crévy' ?,56
Bretagne,Château de Crévy,Donnez le numéro de département correspondant à : Château de Crévy (Bretagne).,56
Provence-Alpes-Côte d'Azur,Village de Bories,Quel est le numéro de département pour le site 'Village de Bories' en Provence-Alpes-Côte d'Azur ?,84
Provence-Alpes-Côte d'Azur,Village de Bories,A quel code départemental est rattaché le lieu 'Village de Bories' ?,84
Provence-Alpes-Côte d'Azur,Village de Bories,Donnez le numéro de département correspondant à : Village de Bories (Provence-Alpes-Côte d'Azur).,84
Martinique,Batterie Sainte-Marthe,Quel est le numéro de département pour le site 'Batterie Sainte-Marthe' en Martinique ?,972
Martinique,Batterie Sainte-Marthe,A quel code départemental est rattaché le lieu 'Batterie Sainte-Marthe' ?,972
Martinique,Batterie Sainte-Marthe,Donnez le numéro de département correspondant à : Batterie Sainte-Marthe (Martinique).,972
Guadeloupe,"Ancienne bibliothèque Mortenol, actuellement école maternelle","Localisation de 'Ancienne bibliothèque Mortenol, actuellement école maternelle' en Guadeloupe : dans quelle commune se trouve-t-il précisément ?",Pointe-à-Pitre
Guadeloupe,"Ancienne bibliothèque Mortenol, actuellement école maternelle","Concernant le patrimoine de la région Guadeloupe, pouvez-vous nommer la ville où est situé le site 'Ancienne bibliothèque Mortenol, actuellement école maternelle' ?",Pointe-à-Pitre
Guadeloupe,"Ancienne bibliothèque Mortenol, actuellement école maternelle","Où est situé 'Ancienne bibliothèque Mortenol, actuellement école maternelle' (Guadeloupe) ? Donnez uniquement le nom de la commune.",Pointe-à-Pitre
Auvergne-Rhône-Alpes,Eglise Saint-Roch de Roche-Charles,Localisation de 'Eglise Saint-Roch de Roche-Charles' en Auvergne-Rhône-Alpes : dans quelle commune se trouve-t-il précisément ?,"Roche-Charles-la-Mayrand, 63"
Auvergne-Rhône-Alpes,Eglise Saint-Roch de Roche-Charles,"Concernant le patrimoine de la région Auvergne-Rhône-Alpes, pouvez-vous nommer la ville où est situé le site 'Eglise Saint-Roch de Roche-Charles' ?","Roche-Charles-la-Mayrand, 63"
Auvergne-Rhône-Alpes,Eglise Saint-Roch de Roche-Charles,Où est situé 'Eglise Saint-Roch de Roche-Charles' (Auvergne-Rhône-Alpes) ? Donnez uniquement le nom de la commune.,"Roche-Charles-la-Mayrand, 63"
Guyane,Eglise paroissiale Saint-Joseph-de-Mana et son presbytère,Le site 'Eglise paroissiale Saint-Joseph-de-Mana et son presbytère' est-il un musée ou un monument historique ?,Monument historique
Guyane,Eglise paroissiale Saint-Joseph-de-Mana et son presbytère,Quelle est la classification officielle de 'Eglise paroissiale Saint-Joseph-de-Mana et son presbytère' en Guyane ?,Monument historique
Guyane,Eglise paroissiale Saint-Joseph-de-Mana et son presbytère,'Eglise paroissiale Saint-Joseph-de-Mana et son presbytère' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Grand Est,Eglise de Longwy-haut,Localisation de 'Eglise de Longwy-haut' en Grand Est : dans quelle commune se trouve-t-il précisément ?,Longwy
Grand Est,Eglise de Longwy-haut,"Concernant le patrimoine de la région Grand Est, pouvez-vous nommer la ville où est situé le site 'Eglise de Longwy-haut' ?",Longwy
Grand Est,Eglise de Longwy-haut,Où est situé 'Eglise de Longwy-haut' (Grand Est) ? Donnez uniquement le nom de la commune.,Longwy
La Réunion,Ancienne léproserie,Le site 'Ancienne léproserie' est-il un musée ou un monument historique ?,Monument historique
La Réunion,Ancienne léproserie,Quelle est la classification officielle de 'Ancienne léproserie' en La Réunion ?,Monument historique
La Réunion,Ancienne léproserie,'Ancienne léproserie' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Occitanie,Fort Brescou,Quel est le numéro de département pour le site 'Fort Brescou' en Occitanie ?,34
Occitanie,Fort Brescou,A quel code départemental est rattaché le lieu 'Fort Brescou' ?,34
Occitanie,Fort Brescou,Donnez le numéro de département correspondant à : Fort Brescou (Occitanie).,34
Guadeloupe,"Résidence préfectorale, au Morne Houel","Quel est le numéro de département pour le site 'Résidence préfectorale, au Morne Houel' en Guadeloupe ?",971
Guadeloupe,"Résidence préfectorale, au Morne Houel","A quel code départemental est rattaché le lieu 'Résidence préfectorale, au Morne Houel' ?",971
Guadeloupe,"Résidence préfectorale, au Morne Houel","Donnez le numéro de département correspondant à : Résidence préfectorale, au Morne Houel (Guadeloupe).",971
Nouvelle-Aquitaine,Immeubles,Quel est le numéro de département pour le site 'Immeubles' en Nouvelle-Aquitaine ?,17
Nouvelle-Aquitaine,Immeubles,A quel code départemental est rattaché le lieu 'Immeubles' ?,17
Nouvelle-Aquitaine,Immeubles,Donnez le numéro de département correspondant à : Immeubles (Nouvelle-Aquitaine).,17
Corse,Eglise Saint-Pancrace,Le site 'Eglise Saint-Pancrace' est-il un musée ou un monument historique ?,Monument historique
Corse,Eglise Saint-Pancrace,Quelle est la classification officielle de 'Eglise Saint-Pancrace' en Corse ?,Monument historique
Corse,Eglise Saint-Pancrace,'Eglise Saint-Pancrace' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Bretagne,Chapelle Saint-Hervé,Localisation de 'Chapelle Saint-Hervé' en Bretagne : dans quelle commune se trouve-t-il précisément ?,"Gourin, 56"
Bretagne,Chapelle Saint-Hervé,"Concernant le patrimoine de la région Bretagne, pouvez-vous nommer la ville où est situé le site 'Chapelle Saint-Hervé' ?","Gourin, 56"
Bretagne,Chapelle Saint-Hervé,Où est situé 'Chapelle Saint-Hervé' (Bretagne) ? Donnez uniquement le nom de la commune.,"Gourin, 56"
Centre-Val de Loire,Ruines de l'ancienne maladrerie Sainte-Catherine,Localisation de 'Ruines de l'ancienne maladrerie Sainte-Catherine' en Centre-Val de Loire : dans quelle commune se trouve-t-il précisément ?,Troo
Centre-Val de Loire,Ruines de l'ancienne maladrerie Sainte-Catherine,"Concernant le patrimoine de la région Centre-Val de Loire, pouvez-vous nommer la ville où est situé le site 'Ruines de l'ancienne maladrerie Sainte-Catherine' ?",Troo
Centre-Val de Loire,Ruines de l'ancienne maladrerie Sainte-Catherine,Où est situé 'Ruines de l'ancienne maladrerie Sainte-Catherine' (Centre-Val de Loire) ? Donnez uniquement le nom de la commune.,Troo
Bretagne,Dolmen à galerie dit Er-Roh,Localisation de 'Dolmen à galerie dit Er-Roh' en Bretagne : dans quelle commune se trouve-t-il précisément ?,"Sarzeau, 56"
Bretagne,Dolmen à galerie dit Er-Roh,"Concernant le patrimoine de la région Bretagne, pouvez-vous nommer la ville où est situé le site 'Dolmen à galerie dit Er-Roh' ?","Sarzeau, 56"
Bretagne,Dolmen à galerie dit Er-Roh,Où est situé 'Dolmen à galerie dit Er-Roh' (Bretagne) ? Donnez uniquement le nom de la commune.,"Sarzeau, 56"
Auvergne-Rhône-Alpes,Château,Localisation de 'Château' en Auvergne-Rhône-Alpes : dans quelle commune se trouve-t-il précisément ?,"Faverges, 74"
Auvergne-Rhône-Alpes,Château,"Concernant le patrimoine de la région Auvergne-Rhône-Alpes, pouvez-vous nommer la ville où est situé le site 'Château' ?","Faverges, 74"
Auvergne-Rhône-Alpes,Château,Où est situé 'Château' (Auvergne-Rhône-Alpes) ? Donnez uniquement le nom de la commune.,"Faverges, 74"
Bretagne,Chapelle Saint-Michel,Quel est le numéro de département pour le site 'Chapelle Saint-Michel' en Bretagne ?,29
Bretagne,Chapelle Saint-Michel,A quel code départemental est rattaché le lieu 'Chapelle Saint-Michel' ?,29
Bretagne,Chapelle Saint-Michel,Donnez le numéro de département correspondant à : Chapelle Saint-Michel (Bretagne).,29
Bourgogne-Franche-Comté,Château des Archevêques (ruines),Le site 'Château des Archevêques (ruines)' est-il un musée ou un monument historique ?,Monument historique
Bourgogne-Franche-Comté,Château des Archevêques (ruines),Quelle est la classification officielle de 'Château des Archevêques (ruines)' en Bourgogne-Franche-Comté ?,Monument historique
Bourgogne-Franche-Comté,Château des Archevêques (ruines),'Château des Archevêques (ruines)' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Guadeloupe,Maison Liensol,Le site 'Maison Liensol' est-il un musée ou un monument historique ?,Monument historique
Guadeloupe,Maison Liensol,Quelle est la classification officielle de 'Maison Liensol' en Guadeloupe ?,Monument historique
Guadeloupe,Maison Liensol,'Maison Liensol' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Guadeloupe,Habitation Fond-Cabre,Le site 'Habitation Fond-Cabre' est-il un musée ou un monument historique ?,Monument historique
Guadeloupe,Habitation Fond-Cabre,Quelle est la classification officielle de 'Habitation Fond-Cabre' en Guadeloupe ?,Monument historique
Guadeloupe,Habitation Fond-Cabre,'Habitation Fond-Cabre' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Provence-Alpes-Côte d'Azur,Eglise paroissiale Saint-Martin,Localisation de 'Eglise paroissiale Saint-Martin' en Provence-Alpes-Côte d'Azur : dans quelle commune se trouve-t-il précisément ?,La Brigue
Provence-Alpes-Côte d'Azur,Eglise paroissiale Saint-Martin,"Concernant le patrimoine de la région Provence-Alpes-Côte d'Azur, pouvez-vous nommer la ville où est situé le site 'Eglise paroissiale Saint-Martin' ?",La Brigue
Provence-Alpes-Côte d'Azur,Eglise paroissiale Saint-Martin,Où est situé 'Eglise paroissiale Saint-Martin' (Provence-Alpes-Côte d'Azur) ? Donnez uniquement le nom de la commune.,La Brigue
Guadeloupe,Maison de l'historien Lacour,Quel est le numéro de département pour le site 'Maison de l'historien Lacour' en Guadeloupe ?,971
Guadeloupe,Maison de l'historien Lacour,A quel code départemental est rattaché le lieu 'Maison de l'historien Lacour' ?,971
Guadeloupe,Maison de l'historien Lacour,Donnez le numéro de département correspondant à : Maison de l'historien Lacour (Guadeloupe).,971
Territoires et départements d'outre-mer,muséum d'histoire naturelle,Quel est le numéro de département pour le site 'muséum d'histoire naturelle' en Territoires et départements d'outre-mer ?,La Réunion
Territoires et départements d'outre-mer,muséum d'histoire naturelle,A quel code départemental est rattaché le lieu 'muséum d'histoire naturelle' ?,La Réunion
Territoires et départements d'outre-mer,muséum d'histoire naturelle,Donnez le numéro de département correspondant à : muséum d'histoire naturelle (Territoires et départements d'outre-mer).,La Réunion
Territoires et départements d'outre-mer,écomusée de Marie-Galante,Quel est le numéro de département pour le site 'écomusée de Marie-Galante' en Territoires et départements d'outre-mer ?,Section Murat
Territoires et départements d'outre-mer,écomusée de Marie-Galante,A quel code départemental est rattaché le lieu 'écomusée de Marie-Galante' ?,Section Murat
Territoires et départements d'outre-mer,écomusée de Marie-Galante,Donnez le numéro de département correspondant à : écomusée de Marie-Galante (Territoires et départements d'outre-mer).,Section Murat
Guyane,Maison Bradin,Localisation de 'Maison Bradin' en Guyane : dans quelle commune se trouve-t-il précisément ?,"Cayenne, 973"
Guyane,Maison Bradin,"Concernant le patrimoine de la région Guyane, pouvez-vous nommer la ville où est situé le site 'Maison Bradin' ?","Cayenne, 973"
Guyane,Maison Bradin,Où est situé 'Maison Bradin' (Guyane) ? Donnez uniquement le nom de la commune.,"Cayenne, 973"
Normandie,Eglise Notre-Dame,Le site 'Eglise Notre-Dame' est-il un musée ou un monument historique ?,Monument historique
Normandie,Eglise Notre-Dame,Quelle est la classification officielle de 'Eglise Notre-Dame' en Normandie ?,Monument historique
Normandie,Eglise Notre-Dame,'Eglise Notre-Dame' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Guyane,Presbytère d'Iracoubo,Quel est le numéro de département pour le site 'Presbytère d'Iracoubo' en Guyane ?,973
Guyane,Presbytère d'Iracoubo,A quel code départemental est rattaché le lieu 'Presbytère d'Iracoubo' ?,973
Guyane,Presbytère d'Iracoubo,Donnez le numéro de département correspondant à : Presbytère d'Iracoubo (Guyane).,973
Bretagne,"Camp gaulois de Kercaradec, à Penhars","Le site 'Camp gaulois de Kercaradec, à Penhars' est-il un musée ou un monument historique ?",Monument historique
Bretagne,"Camp gaulois de Kercaradec, à Penhars","Quelle est la classification officielle de 'Camp gaulois de Kercaradec, à Penhars' en Bretagne ?",Monument historique
Bretagne,"Camp gaulois de Kercaradec, à Penhars","'Camp gaulois de Kercaradec, à Penhars' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.",Monument historique
Bretagne,Eglise Saint-Pierre,Quel est le numéro de département pour le site 'Eglise Saint-Pierre' en Bretagne ?,56
Bretagne,Eglise Saint-Pierre,A quel code départemental est rattaché le lieu 'Eglise Saint-Pierre' ?,56
Bretagne,Eglise Saint-Pierre,Donnez le numéro de département correspondant à : Eglise Saint-Pierre (Bretagne).,56
Guyane,Institut d'Enseignement Supérieur,Quel est le numéro de département pour le site 'Institut d'Enseignement Supérieur' en Guyane ?,973
Guyane,Institut d'Enseignement Supérieur,A quel code départemental est rattaché le lieu 'Institut d'Enseignement Supérieur' ?,973
Guyane,Institut d'Enseignement Supérieur,Donnez le numéro de département correspondant à : Institut d'Enseignement Supérieur (Guyane).,973
Centre-Val de Loire,Eglise Saint-Martin,Localisation de 'Eglise Saint-Martin' en Centre-Val de Loire : dans quelle commune se trouve-t-il précisément ?,"Juranville, 45"
Centre-Val de Loire,Eglise Saint-Martin,"Concernant le patrimoine de la région Centre-Val de Loire, pouvez-vous nommer la ville où est situé le site 'Eglise Saint-Martin' ?","Juranville, 45"
Centre-Val de Loire,Eglise Saint-Martin,Où est situé 'Eglise Saint-Martin' (Centre-Val de Loire) ? Donnez uniquement le nom de la commune.,"Juranville, 45"
Île-de-France,Maison Sainte-Anne,Le site 'Maison Sainte-Anne' est-il un musée ou un monument historique ?,Monument historique
Île-de-France,Maison Sainte-Anne,Quelle est la classification officielle de 'Maison Sainte-Anne' en Île-de-France ?,Monument historique
Île-de-France,Maison Sainte-Anne,'Maison Sainte-Anne' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Territoires et départements d'outre-mer,musée Léon Dierx,Localisation de 'musée Léon Dierx' en Territoires et départements d'outre-mer : dans quelle commune se trouve-t-il précisément ?,"Saint-Denis, La Réunion"
Territoires et départements d'outre-mer,musée Léon Dierx,"Concernant le patrimoine de la région Territoires et départements d'outre-mer, pouvez-vous nommer la ville où est situé le site 'musée Léon Dierx' ?","Saint-Denis, La Réunion"
Territoires et départements d'outre-mer,musée Léon Dierx,Où est situé 'musée Léon Dierx' (Territoires et départements d'outre-mer) ? Donnez uniquement le nom de la commune.,"Saint-Denis, La Réunion"
Centre-Val de Loire,Ancien cellier de Loëns,Le site 'Ancien cellier de Loëns' est-il un musée ou un monument historique ?,Monument historique
Centre-Val de Loire,Ancien cellier de Loëns,Quelle est la classification officielle de 'Ancien cellier de Loëns' en Centre-Val de Loire ?,Monument historique
Centre-Val de Loire,Ancien cellier de Loëns,'Ancien cellier de Loëns' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Occitanie,Ancienne sous-préfecture,Localisation de 'Ancienne sous-préfecture' en Occitanie : dans quelle commune se trouve-t-il précisément ?,1 place de Verdun
Occitanie,Ancienne sous-préfecture,"Concernant le patrimoine de la région Occitanie, pouvez-vous nommer la ville où est situé le site 'Ancienne sous-préfecture' ?",1 place de Verdun
Occitanie,Ancienne sous-préfecture,Où est situé 'Ancienne sous-préfecture' (Occitanie) ? Donnez uniquement le nom de la commune.,1 place de Verdun
La Réunion,Maison Roussel,Localisation de 'Maison Roussel' en La Réunion : dans quelle commune se trouve-t-il précisément ?,"Le Tampon, 974"
La Réunion,Maison Roussel,"Concernant le patrimoine de la région La Réunion, pouvez-vous nommer la ville où est situé le site 'Maison Roussel' ?","Le Tampon, 974"
La Réunion,Maison Roussel,Où est situé 'Maison Roussel' (La Réunion) ? Donnez uniquement le nom de la commune.,"Le Tampon, 974"
Guyane,Ecole de Montjoly (ancienne),Localisation de 'Ecole de Montjoly (ancienne)' en Guyane : dans quelle commune se trouve-t-il précisément ?,Remire-Montjoly
Guyane,Ecole de Montjoly (ancienne),"Concernant le patrimoine de la région Guyane, pouvez-vous nommer la ville où est situé le site 'Ecole de Montjoly (ancienne)' ?",Remire-Montjoly
Guyane,Ecole de Montjoly (ancienne),Où est situé 'Ecole de Montjoly (ancienne)' (Guyane) ? Donnez uniquement le nom de la commune.,Remire-Montjoly
Provence-Alpes-Côte d'Azur,Eglise paroissiale Saint-Martin,Localisation de 'Eglise paroissiale Saint-Martin' en Provence-Alpes-Côte d'Azur : dans quelle commune se trouve-t-il précisément ?,"La Brigue, 06"
Provence-Alpes-Côte d'Azur,Eglise paroissiale Saint-Martin,"Concernant le patrimoine de la région Provence-Alpes-Côte d'Azur, pouvez-vous nommer la ville où est situé le site 'Eglise paroissiale Saint-Martin' ?","La Brigue, 06"
Provence-Alpes-Côte d'Azur,Eglise paroissiale Saint-Martin,Où est situé 'Eglise paroissiale Saint-Martin' (Provence-Alpes-Côte d'Azur) ? Donnez uniquement le nom de la commune.,"La Brigue, 06"
Pays de la Loire,"Affleurements granitiques connus sous le nom de ""Cartes du Diable""","Localisation de 'Affleurements granitiques connus sous le nom de ""Cartes du Diable""' en Pays de la Loire : dans quelle commune se trouve-t-il précisément ?",route de Saint-Sébastien
Pays de la Loire,"Affleurements granitiques connus sous le nom de ""Cartes du Diable""","Concernant le patrimoine de la région Pays de la Loire, pouvez-vous nommer la ville où est situé le site 'Affleurements granitiques connus sous le nom de ""Cartes du Diable""' ?",route de Saint-Sébastien
Pays de la Loire,"Affleurements granitiques connus sous le nom de ""Cartes du Diable""","Où est situé 'Affleurements granitiques connus sous le nom de ""Cartes du Diable""' (Pays de la Loire) ? Donnez uniquement le nom de la commune.",route de Saint-Sébastien
Martinique,Eglise Notre-Dame-de-la-Nativité,Le site 'Eglise Notre-Dame-de-la-Nativité' est-il un musée ou un monument historique ?,Monument historique
Martinique,Eglise Notre-Dame-de-la-Nativité,Quelle est la classification officielle de 'Eglise Notre-Dame-de-la-Nativité' en Martinique ?,Monument historique
Martinique,Eglise Notre-Dame-de-la-Nativité,'Eglise Notre-Dame-de-la-Nativité' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Pays de la Loire,Manoir de Boisset,Localisation de 'Manoir de Boisset' en Pays de la Loire : dans quelle commune se trouve-t-il précisément ?,"Meigné-le-Vicomte, 49"
Pays de la Loire,Manoir de Boisset,"Concernant le patrimoine de la région Pays de la Loire, pouvez-vous nommer la ville où est situé le site 'Manoir de Boisset' ?","Meigné-le-Vicomte, 49"
Pays de la Loire,Manoir de Boisset,Où est situé 'Manoir de Boisset' (Pays de la Loire) ? Donnez uniquement le nom de la commune.,"Meigné-le-Vicomte, 49"
Grand Est,musée Charles-de-Bruyères,Quel est le numéro de département pour le site 'musée Charles-de-Bruyères' en Grand Est ?,Vosges
Grand Est,musée Charles-de-Bruyères,A quel code départemental est rattaché le lieu 'musée Charles-de-Bruyères' ?,Vosges
Grand Est,musée Charles-de-Bruyères,Donnez le numéro de département correspondant à : musée Charles-de-Bruyères (Grand Est).,Vosges
La Réunion,Domaine de la Confiance ou domaine Carrère,Localisation de 'Domaine de la Confiance ou domaine Carrère' en La Réunion : dans quelle commune se trouve-t-il précisément ?,"Saint-Benoît, 974"
La Réunion,Domaine de la Confiance ou domaine Carrère,"Concernant le patrimoine de la région La Réunion, pouvez-vous nommer la ville où est situé le site 'Domaine de la Confiance ou domaine Carrère' ?","Saint-Benoît, 974"
La Réunion,Domaine de la Confiance ou domaine Carrère,Où est situé 'Domaine de la Confiance ou domaine Carrère' (La Réunion) ? Donnez uniquement le nom de la commune.,"Saint-Benoît, 974"
Île-de-France,Borne n° 12 ornée d'un bonnet phrygien,Localisation de 'Borne n° 12 ornée d'un bonnet phrygien' en Île-de-France : dans quelle commune se trouve-t-il précisément ?,"Morsang-sur-Orge, 91"
Île-de-France,Borne n° 12 ornée d'un bonnet phrygien,"Concernant le patrimoine de la région Île-de-France, pouvez-vous nommer la ville où est situé le site 'Borne n° 12 ornée d'un bonnet phrygien' ?","Morsang-sur-Orge, 91"
Île-de-France,Borne n° 12 ornée d'un bonnet phrygien,Où est situé 'Borne n° 12 ornée d'un bonnet phrygien' (Île-de-France) ? Donnez uniquement le nom de la commune.,"Morsang-sur-Orge, 91"
Guadeloupe,Moulin de Chassaing,Localisation de 'Moulin de Chassaing' en Guadeloupe : dans quelle commune se trouve-t-il précisément ?,"Saint-François, 971"
Guadeloupe,Moulin de Chassaing,"Concernant le patrimoine de la région Guadeloupe, pouvez-vous nommer la ville où est situé le site 'Moulin de Chassaing' ?","Saint-François, 971"
Guadeloupe,Moulin de Chassaing,Où est situé 'Moulin de Chassaing' (Guadeloupe) ? Donnez uniquement le nom de la commune.,"Saint-François, 971"
Pays de la Loire,Hôtel Périer du Bignon,Localisation de 'Hôtel Périer du Bignon' en Pays de la Loire : dans quelle commune se trouve-t-il précisément ?,"Laval, 53"
Pays de la Loire,Hôtel Périer du Bignon,"Concernant le patrimoine de la région Pays de la Loire, pouvez-vous nommer la ville où est situé le site 'Hôtel Périer du Bignon' ?","Laval, 53"
Pays de la Loire,Hôtel Périer du Bignon,Où est situé 'Hôtel Périer du Bignon' (Pays de la Loire) ? Donnez uniquement le nom de la commune.,"Laval, 53"
Hauts-de-France,Vestiges anciens de la ville,Localisation de 'Vestiges anciens de la ville' en Hauts-de-France : dans quelle commune se trouve-t-il précisément ?,"Gravelines, 59"
Hauts-de-France,Vestiges anciens de la ville,"Concernant le patrimoine de la région Hauts-de-France, pouvez-vous nommer la ville où est situé le site 'Vestiges anciens de la ville' ?","Gravelines, 59"
Hauts-de-France,Vestiges anciens de la ville,Où est situé 'Vestiges anciens de la ville' (Hauts-de-France) ? Donnez uniquement le nom de la commune.,"Gravelines, 59"
Occitanie,Croix dans le cimetière,Localisation de 'Croix dans le cimetière' en Occitanie : dans quelle commune se trouve-t-il précisément ?,Saint-Juéry
Occitanie,Croix dans le cimetière,"Concernant le patrimoine de la région Occitanie, pouvez-vous nommer la ville où est situé le site 'Croix dans le cimetière' ?",Saint-Juéry
Occitanie,Croix dans le cimetière,Où est situé 'Croix dans le cimetière' (Occitanie) ? Donnez uniquement le nom de la commune.,Saint-Juéry
Hauts-de-France,Pharmacie,Localisation de 'Pharmacie' en Hauts-de-France : dans quelle commune se trouve-t-il précisément ?,"Wambrechies, 59"
Hauts-de-France,Pharmacie,"Concernant le patrimoine de la région Hauts-de-France, pouvez-vous nommer la ville où est situé le site 'Pharmacie' ?","Wambrechies, 59"
Hauts-de-France,Pharmacie,Où est situé 'Pharmacie' (Hauts-de-France) ? Donnez uniquement le nom de la commune.,"Wambrechies, 59"
Provence-Alpes-Côte d'Azur,Tombeau de Prosper Mérimée,Localisation de 'Tombeau de Prosper Mérimée' en Provence-Alpes-Côte d'Azur : dans quelle commune se trouve-t-il précisément ?,Cannes
Provence-Alpes-Côte d'Azur,Tombeau de Prosper Mérimée,"Concernant le patrimoine de la région Provence-Alpes-Côte d'Azur, pouvez-vous nommer la ville où est situé le site 'Tombeau de Prosper Mérimée' ?",Cannes
Provence-Alpes-Côte d'Azur,Tombeau de Prosper Mérimée,Où est situé 'Tombeau de Prosper Mérimée' (Provence-Alpes-Côte d'Azur) ? Donnez uniquement le nom de la commune.,Cannes
Normandie,Château,Localisation de 'Château' en Normandie : dans quelle commune se trouve-t-il précisément ?,"Roumare, 76"
Normandie,Château,"Concernant le patrimoine de la région Normandie, pouvez-vous nommer la ville où est situé le site 'Château' ?","Roumare, 76"
Normandie,Château,Où est situé 'Château' (Normandie) ? Donnez uniquement le nom de la commune.,"Roumare, 76"
Île-de-France,Pavillon de chasse dit Pavillon du Roi,Localisation de 'Pavillon de chasse dit Pavillon du Roi' en Île-de-France : dans quelle commune se trouve-t-il précisément ?,Marcoussis
Île-de-France,Pavillon de chasse dit Pavillon du Roi,"Concernant le patrimoine de la région Île-de-France, pouvez-vous nommer la ville où est situé le site 'Pavillon de chasse dit Pavillon du Roi' ?",Marcoussis
Île-de-France,Pavillon de chasse dit Pavillon du Roi,Où est situé 'Pavillon de chasse dit Pavillon du Roi' (Île-de-France) ? Donnez uniquement le nom de la commune.,Marcoussis
Centre-Val de Loire,Château,Localisation de 'Château' en Centre-Val de Loire : dans quelle commune se trouve-t-il précisément ?,2 rue de Valpinçon
Centre-Val de Loire,Château,"Concernant le patrimoine de la région Centre-Val de Loire, pouvez-vous nommer la ville où est situé le site 'Château' ?",2 rue de Valpinçon
Centre-Val de Loire,Château,Où est situé 'Château' (Centre-Val de Loire) ? Donnez uniquement le nom de la commune.,2 rue de Valpinçon
Auvergne-Rhône-Alpes,Maison de l'Instruction dite Assemblée de la Clauze,Localisation de 'Maison de l'Instruction dite Assemblée de la Clauze' en Auvergne-Rhône-Alpes : dans quelle commune se trouve-t-il précisément ?,Grèzes
Auvergne-Rhône-Alpes,Maison de l'Instruction dite Assemblée de la Clauze,"Concernant le patrimoine de la région Auvergne-Rhône-Alpes, pouvez-vous nommer la ville où est situé le site 'Maison de l'Instruction dite Assemblée de la Clauze' ?",Grèzes
Auvergne-Rhône-Alpes,Maison de l'Instruction dite Assemblée de la Clauze,Où est situé 'Maison de l'Instruction dite Assemblée de la Clauze' (Auvergne-Rhône-Alpes) ? Donnez uniquement le nom de la commune.,Grèzes
Occitanie,Croix en fer forgé,Localisation de 'Croix en fer forgé' en Occitanie : dans quelle commune se trouve-t-il précisément ?,"Saint-Bonnet-de-Montauroux, 48"
Occitanie,Croix en fer forgé,"Concernant le patrimoine de la région Occitanie, pouvez-vous nommer la ville où est situé le site 'Croix en fer forgé' ?","Saint-Bonnet-de-Montauroux, 48"
Occitanie,Croix en fer forgé,Où est situé 'Croix en fer forgé' (Occitanie) ? Donnez uniquement le nom de la commune.,"Saint-Bonnet-de-Montauroux, 48"
Nouvelle-Aquitaine,Eglise Saint-Martin,Localisation de 'Eglise Saint-Martin' en Nouvelle-Aquitaine : dans quelle commune se trouve-t-il précisément ?,"Landiras, 33"
Nouvelle-Aquitaine,Eglise Saint-Martin,"Concernant le patrimoine de la région Nouvelle-Aquitaine, pouvez-vous nommer la ville où est situé le site 'Eglise Saint-Martin' ?","Landiras, 33"
Nouvelle-Aquitaine,Eglise Saint-Martin,Où est situé 'Eglise Saint-Martin' (Nouvelle-Aquitaine) ? Donnez uniquement le nom de la commune.,"Landiras, 33"
Centre-Val de Loire,Ancien couvent des Cordeliers,Localisation de 'Ancien couvent des Cordeliers' en Centre-Val de Loire : dans quelle commune se trouve-t-il précisément ?,Châteauroux
Centre-Val de Loire,Ancien couvent des Cordeliers,"Concernant le patrimoine de la région Centre-Val de Loire, pouvez-vous nommer la ville où est situé le site 'Ancien couvent des Cordeliers' ?",Châteauroux
Centre-Val de Loire,Ancien couvent des Cordeliers,Où est situé 'Ancien couvent des Cordeliers' (Centre-Val de Loire) ? Donnez uniquement le nom de la commune.,Châteauroux
Guyane,Résidence du Sous-Préfet,Localisation de 'Résidence du Sous-Préfet' en Guyane : dans quelle commune se trouve-t-il précisément ?,"Saint-Laurent-du-Maroni, 973"
Guyane,Résidence du Sous-Préfet,"Concernant le patrimoine de la région Guyane, pouvez-vous nommer la ville où est situé le site 'Résidence du Sous-Préfet' ?","Saint-Laurent-du-Maroni, 973"
Guyane,Résidence du Sous-Préfet,Où est situé 'Résidence du Sous-Préfet' (Guyane) ? Donnez uniquement le nom de la commune.,"Saint-Laurent-du-Maroni, 973"
